precio,ubicacion,titulo,caracteristicas,area,dormitorios,banos,fecha_publicacion,url,website,search_term,scrape_timestamp,Ciudad,Tipo,Inmueble,Pagina,Fecha_Publicacion
Consultar precio,"Jorge Salazar Araoz 171 La Victoria, Lima","La Victoria, Lima",· Entrega marzo 2028,273 un.,,,,"Ubicado en el corazón de Santa Catalina, este proyecto te ofrece el equilibrio perfecto entre comodidad y conexión. Además, su estratégica ubicación te permite estar cerca de todo lo que necesitas, con fácil acceso a los principales puntos de la ciudad para optimizar tu tiempo y tu estilo de vida.",urbania,Lima_alquiler_departamento_p1,2025-11-22 23:28:57.363627,Lima,alquiler,departamento,1,
"S/ 5,800 · USD 1,700 S/ 650 Mantenimiento","Francisco Graña al 637 San Isidro, Lima","San Isidro, Lima",40,180 m² tot.,,,Publicado hace 3 días,"Duplex ideal para familias jóvenes que buscan áreas sociales privadas. Amplia terraza propia (40 m2) con piscina/jacuzzi, parrilla empotrada y horno de barro. Piso 5 y 6, con balcón y al parque interno del edificio (privacidad y silencio) Ubicado en la mejor zona de Magdalena limite con San Isidro. Edificio boutique, solo 19 departamentos, con recepción 24/7. *Disponible Ver datos m² área total | 143 m² construidos | 4 dormitorios | kitchenette | sala – comedor | terraza implementada2 estacionamientos paralelos | 1 depósito | vista interna a parque internodistribución• 1er nivel: Ascensor directoSala y comedor y KitchenetteBaño de visita2 cuartos amplios (para cama queen y 2 plz) 1 baño completo• 2do nivelCuarto principal con baño incorporado, walking closet y doble lavadero. Cuatro secundario (cuna, cama de 1. 5 plz) Baño completoTerraza con piscina/jacuzzi, parrilla y horno empotradoMueble de barLavandería• Dos estacionamientos paralelos y 1 depósito 4m2• Ascensor de carros (2 sótanos) sólo 30 cocheras. características• Acabados A1: madera, cuarzo y mármol, • Ventanas antiruido en todo el departamento. • Piscina en terraza y zona de parrilla totalmente equipada• Ambientes iluminados y bien distribuidosedificio• Edificio boutique de dos torres• Recepción con seguridad 24/7• Mantenimiento aproximado: S/650ubicación• A 1 cuadra de Av. Juan de Aliaga y Av. Pearshing• A 2 cuadras de Av. Javier Prado Oeste y 4 de Av. Salaverry• A minutos caminando de cc Real Plaza Salaverry y Universidades (up, upc) • Zona cercana a supermercados y excelente conectividadContáctame y agendemos tu visita.",urbania,Lima_alquiler_departamento_p1,2025-11-22 23:28:57.363627,Lima,alquiler,departamento,1,Publicado hace 3 días
"S/ 2,520 · USD 750 S/ 360 Mantenimiento","San Martin Miraflores, Lima","Miraflores, Lima",25,95 m² tot.,,,Publicado hace 2 días,"Precioso departamento totalmente amoblado y equipado inmejorable ubicacion un dormitorio, baño, sala comedor, cocina. Alquiler mensual $750 Cinthya Gil. 9. 5. 5. 5. 4. 3. 7. 4. 3. -. 9. 2. 5. 8. 0. 3. 3. 2. 6. Tenemos este y mas departamentos en alquiler amoblados sin amoblar con linea blanca. Comunicate con nosotros y encuentra el departamento ideal para ti! Precioso departamento totalmente amoblado y equipado inmejorable ubicacion un dormitorio, baño, sala comedor, cocina. Alquiler mensual $750 Cinthya Gil. 9. 5. 5. 5. 4. 3. 7. 4. 3. -. 9. 2. 5. 8. 0. 3. 3. 2. 6. Tenemos este y mas departamentos en alquiler amoblados sin amoblar con linea blanca. Comunicate con nosotros y encuentra el departamento ideal para ti! Precioso departamento totalmente amoblado y equipado inmejorable ubicacion un dormitorio, baño, sala comedor, cocina. Alquiler mensual $750 Cinthya Gil. 9. 5. 5. 5. 4. 3. 7. 4. 3. -. 9. 2. 5. 8. 0. 3. 3. 2. 6. Tenemos este y mas departamentos en alquiler amoblados sin amoblar con linea blanca. Comunicate con nosotros y encuentra el departamento ideal para ti!",urbania,Lima_alquiler_departamento_p1,2025-11-22 23:28:57.363627,Lima,alquiler,departamento,1,Publicado hace 2 días
"S/ 3,200 S/ 330 Mantenimiento","Av. Manuel Olguín al 600 El Derby, Santiago de Surco","El Derby, Santiago de Surco",50,78 m² tot.,,,Publicado hoy,"Alquiler de departamento en santiago de surco – av. Manuel olguín 611Moderno departamento de 3 años de antigüedad, ubicado en el piso 20 de un edificio con excelente ubicación en Av. Manuel Olguín, Santiago de Surco. Precio: S/ 3, 400 mensuales (incluye estacionamiento en sótano 5) Área total: 78 m²Distribución: 3 habitaciones. 2 baños con mamparas de vidrio. Sala y comedor con mueble incluido. Cocina equipada con encimera, campana decorativa, torre de horno y microondas. Lavandería pequeña. Escritorio incluido. Cuarto secundario con camarote y escritorio. Todas las ventanas con rollers. Terma instalada. Conexión a gas natural. El edificio cuenta con excelente mantenimiento y se encuentra cerca de centros comerciales, universidades y vías principales. Areas comunes: 1er piso: 01 coworking, 02 salas de niños (Mario Bross y lego), terraza, 02 salones sum. 8avo piso: 01 salon para fiesta holywood para 40 personas, 01 sala de videojuegos, 01 beauty salon, 01 salon. Terraza: Zona de parrilas, zona pizza, zona sushi, 01 salon de cata de vino, gimnasio, sala de baile, 02 salones. Ubicado cerca de los centros empresariales Olguín, Time, Chronos y Panorama, a un paso de la upc y la Universidad de Lima. Condiciones: Alquiler mensual: S/ 3, 400 (incluye cochera) Contrato mínimo: 1 año. No estar en Infocorp. Pagar los arbitrios. Para más información o coordinar una visita. pj-Ver datos-mvcs",urbania,Lima_alquiler_departamento_p1,2025-11-22 23:28:57.363627,Lima,alquiler,departamento,1,Publicado hoy
"S/ 3,000 · USD 890 S/ 250 Mantenimiento","Javier Prado Oeste - Flat de Estreno Vista Externa con 2 Dormitorios + Estudio y Cochera Magdalena, Lima","Magdalena, Lima",23,70 m² tot.,,,Publicado hace 4 días,"Departamento flat equipado en la mejor zona de magdalenalindo departamento de estreno con 70m2 muy bien distribuidos en una de las zonas más estratégicas y conectadas de Lima. Ubicado en el Piso 9 con vista externa y bastante iluminación natural. Un espacio ideal para quienes buscan ubicación, diseño y comodidad. Características: Sala comedor equipada con comedor de 6 sillas, mueble de sala y 1 televisor. Dormitorio principal equipado con cama de 2 plazas, baño completo y closet. Primer dormitorio secundario equipado con cama de 1 plaza y media y closet (el cuarto tiene espacio para una cama de 2 plazas). Segundo dormitorio secundario con espacio para una cama de 1 plaza y media. Este dormitorio puede ser utilizado como sala de estudio o home office. Baño completo que comparten los 2 dormitorios secundarios. Cocina americana con muebles altos y bajos en melamina, tablero de granito, lavadero de acero inoxidable y conexión a gas calidda. Cuenta con cocina, horno empotrado y campana. Área de lavandería con lavadero, espacio para lavadora, secadora y terma a gas. Salida al balcón desde la sala y dormitorio principal. Extras: Se aceptan mascotas pequeñas. El precio incluye 1 cochera. Encontrarás en las áreas comunes: Área de parrillaPiscinaGimnasioSalón de co-workingSala de eventosBillarVigilancia 24/7Ubicación Estratégica: Cerca a supermercados, bancos y a minutos de centros comerciales. Fácil acceso a avenidas principales. Zona segura. Condiciones: 2 meses de garantía x 1 mes de adelanto. Sustento de ingreso y evaluación positiva en centrales de riesgo. Contrato en soles.",urbania,Lima_alquiler_departamento_p1,2025-11-22 23:28:57.363627,Lima,alquiler,departamento,1,Publicado hace 4 días
"S/ 5,055 · USD 1,500 S/ 840 Mantenimiento","Esmeralda 1xx Piso 2 -A una Cuadra de la Parroquia Santisimo de Jesús Chacarilla Del Estanque, San Borja","Chacarilla Del Estanque, San Borja",17,147 m² tot.,,,Publicado desde ayer,"Alquiler de departamento flat con vista externa. Edificio moderno, con ascensor para discapacitados. Edificio cuenta con vigilancia 24/7. Con entrada por Av. Velasco Astete y Av. Esmeralda. Área 147 m2. Departamento bien ubicado en Av. Esmeralda cdra. 1, frente al colegio Santísimo Nombre de Jesús. * Sala - comedor amplia * Balcón - terraza ideal para poner parrilla o kamado* Cocina cerrada con linea blanca completa ( encimera, horno, refrigeradora, campana) * Baño de visitas * Lavandería completa ( incluye lavaseca) * Dormitorio principal iluminado con visita externa y walking clóset. Incluye baño completo dentro del dormitorio con tina. * Segundo y tercer dormitorio amplios con closet de pared a pared y un baño que comparten ambos dormitorios. * Closet amplio para ropa blanca *Cochera lineal para dos vehículos extras: - vigilancia 24/7- edificio moderno - 14 departamento en el edificio.",urbania,Lima_alquiler_departamento_p1,2025-11-22 23:28:57.363627,Lima,alquiler,departamento,1,Publicado desde ayer
"S/ 2,000 · USD 597 S/ 260 Mantenimiento","Calle Roma 486, San Isidro San Isidro, Lima","San Isidro, Lima",28,45 m² tot.,,,Publicado desde ayer,"Conoce este departamento ubicado en Calle Roma, San Isidro. El departamento cuenta con mucha iluminación y ventilación, ubicado en piso 11. Características: - Sala comedor- Balcón- Cocina americana (incluye full equipada) - Lavandería con lavaseca- Dormitorio amplio con walking closet- Baño completo con doble puerta (hacia la sala y hacia el dormitorio) El edificio cuenta con áreas comunes- Lobby de ingreso- 4 zonas de parrilas- Piscina- Salón Gourmet- Zona de mascotas- Zona fitnessUbicado a la espalda del Hotel Melia, cerca a Real Plaza Salaverry, upc, Universidad Pacífico, Centro Español, Av 2 de Mayo. no incluye cocheraedificio cuenta con 3 ascensores. Mantenimiento S/260Agenda una visita y conoce este bello departamento. Bienvenidas las mascotasSe piden 2 de garantía, 1 de adelanto, 1 año minimo de contrato",urbania,Lima_alquiler_departamento_p1,2025-11-22 23:28:57.363627,Lima,alquiler,departamento,1,Publicado desde ayer
"S/ 4,220 · USD 1,250","La Floresta Santiago de Surco, Lima","Santiago de Surco, Lima",37,125 m² tot.,,,Publicado hace 4 días,"Dpto. En estupenda zona de Surco. Ubicado en un ambiente tranquilo y seguro. Cerca al colegio Franklin Delano Roosevelt, icpna La Molina, instituto Británico, Universidad de Lima y C. C. Jockey Plaza. Con rápido acceso a las avenidas Javier Prado Oeste, Las Palmeras y Evitamiento. En piso 2, con ascensor y vista interior. Posee un área de 125 m2 y una antigüedad de 8 años. excelente distribución: 3 dormitorios, 2 baños completos, sala-comedor con balcón, cocina con comedor de diario, lavandería y 1/2 baño de visitas. El dorm. Principal viene con baño incorporado y espacio para cama king. Los dormitorios secundarios tienen espacios para cama queen y cama de 2 plazas. otros beneficios: Incluye 1 estacionamiento. Vigilancia interna las 24 horas. Alquiler: usd 1, 250 negociable. Nota: El precio en soles es referencial. El mantenimiento es de 450 soles (incluye agua, luces comunes, limpieza del edificio, mantenimiento del ascensor y vigilancia interna). El precio incluye arbitrios. La condición es 2x1 y el contrato mínimo es por 1 año. importante: para agendar visitas es necesario adjuntar nombres Y apellidos completos + número de dni. Asimismo, se solicita que el cliente debe tener buen récord crediticio (infocorp).",urbania,Lima_alquiler_departamento_p1,2025-11-22 23:28:57.363627,Lima,alquiler,departamento,1,Publicado hace 4 días
"S/ 2,300 · USD 690 S/ 650 Mantenimiento","Calle Piura 600 Miraflores, Lima","Miraflores, Lima",25,87 m² tot.,,,Publicado hoy,"Departamento en alquiler, a cuadras de Comandante Espinar, cerca a centros comerciales, bancos, cines, restaurantes, colegios, con ascensor directo. El departamento se encuentra en el tercer piso de un edificio de 10 pisos, con vista a la calle Piura y Elías Aguirre, cuenta con seguridad las 24 horas. Consta de: - Sala comedor amplia e iluminada- Ascensor directo- Recibidor- Cocina cerrada- Dormitorio principal con closet y baño incorporado- Dormitorio secundario con closet- Baño completo que comparte visita y dormitorio secundario- Cuarto y baño de servicio- Lavandería- Oficina- Balcón* Ambos dormitorios con vista a la calle. * Mantenimiento S/. 650* El precio incluye 1 estacionamiento* El alquiler es en soles",urbania,Lima_alquiler_departamento_p1,2025-11-22 23:28:57.363627,Lima,alquiler,departamento,1,Publicado hoy
"S/ 3,795 · USD 1,100 S/ 565 Mantenimiento","Av. Angamos Oeste, Miraflores Miraflores, Lima","Miraflores, Lima",13,122 m² tot.,,,Publicado hace 7 días,"Acogedor dúplex recientemente remodelado con linda terraza en privilegiada ubicación (límite con San Isidro) zona de parques. El edificio cuenta con 2 frentes, la Av. Angamos Oeste y fondo al Parque Baden Powell con acceso a principales avenidas como Av. Santa Cruz, donde podrás disfrutar de restaurantes, cafés, entre otros. Características: - Área: 122m2- 1er nivel vista interior y 2do nivel hacia el parque- Piso 8- 1 estacionamiento lineal (para 2 autos) Distribución: Primer nivel: - Sala Comedor- Cocina abierta con línea blanca de estreno- Dormitorio con baño incorporado y closet- DepósitoSegundo nivel: - Amplia terraza principal con vista al Parque- Sala de estar- Medio baño de visita- Terraza auxiliar interior con techo sol y sombra (lavandería) - Mantenimiento: S/. 565 (incluye agua de acuerdo a consumo) Datos generales: - Edificio de 8 pisos / 4 dptos. X piso / Total 32 dptos. - Gas centralizado- Antigüedad 10 años- Gas Cálidda- Elevador para personas con discapacidad- No se aceptan mascotas- Seguridad 24/7Precio de Alquiler: $ 1, 100",urbania,Lima_alquiler_departamento_p1,2025-11-22 23:28:57.363627,Lima,alquiler,departamento,1,Publicado hace 7 días
