CATEGORIA,SUBCATEGORIA
Sistema Respiratorio,Antibióticos Respiratorios
Sistema Cardiovascular,Antiarrítmicos
Sistema Cardiovascular,Antihipertensivos
Sistema Digestivo,Antiflatulentos
Sistema Digestivo,Antiulcerosos/Protector Gástrico
Sistema Respiratorio,Antiasmáticos
Sistema Respiratorio,Antigripales
Hormonas,Reguladores de Hormonas
Oftalmológicos,Descongestionante Oftálmico
Cuidado Dermatológico,cicatrizantes /Heridas/ Otros
Nutrición,Antianémicos
Sistema Nervioso,Antiepilépticos
Sistema Nervioso,Antidepresivos
Hormonas,Anticonceptivos
